name,city,province,country,governing_body,org_type,id
"Bedford Blues","Bedford","NS","CA","CMHF","association","14f9efb8-ee4d-479a-8b16-09d2680cc8ff"
"Bedford Bulls","Bedford","QC","CA","Estrie","association","e1a5f3e7-5155-4065-9b6e-44bc87158b9c"
"Beeton Stingers","Beeton","ON","CA","OMHA","association","94909a50-1f53-4f52-8664-437862b52e65"
"Beiseker Blazers","Beiseker","AB","CA","CAHL","association","d90fd972-0577-4105-8dc2-bb645f015730"
"Bell Island Miners","Bell Island","NL","CA","DJHL","association","e02d0caa-8fe4-476a-b91c-eb3adb69b853"
"Belle River Jr Canadiens","Belle River","ON","CA","Bluewater","association","7e2b1f0a-2ebe-4964-9556-c6f8c9a4d0ed"
"Belle Tire","Taylor","MI","US","LCAHL","association","44356f14-6db9-461f-9fac-e5e73521546d"
"Bellechasse Senateurs","St-Anselme","QC","CA","LCRSE","association","ded3c673-75f9-4e66-b691-9cd3f0f06156"
"Belleville Bearcats","Belleville","ON","CA","OWHA","association","1a972a65-65d8-4764-bd34-f12abc463e05"
"Belleville Jr Bulls","Belleville","ON","CA","LHL","association","430c40ad-dc91-44f1-abaa-eed443bd37ba"
"Bellingham Jr Blazers","Bellingham","WA","US","PCAHA","association","3fecd61c-7799-4624-b9ad-c6e1d227d7c7"
"Belmont Blazers","Belmont","ON","CA","OWHA","association","057ce4a9-2fa2-4cdb-98cf-bc227411f55e"
"Belmont Marauders","Belmont","MA","US","MYCGL","association","0d0ef0e3-3dab-4adb-abe9-121e29316537"
"Belmont Rangers","Belmont","ON","CA","OMHA","association","4c16b8e8-a239-431f-9d3a-ef55f99258d8"
"Beloeil Tigers","Beloeil","QC","CA","LHER","association","0e2339aa-92a3-47ef-a763-4a93c14794e6"
"Beloit Jr Knights","Beloit","WI","US","WAHA","association","094e2b7f-40db-4d1d-97ca-fa214e3a8d5b"
"Bemidji Lumberjacks","Bemidji","MN","US","MN16","association","a49e848b-a3ab-4a06-906c-1e8afa7fa164"
"Bend Rapids","Bend","OR","US","Independent","association","ab8da21b-d854-48e9-8a6c-c13c52f3375e"
"Bentley Canucks","Bentley","AB","CA","CAHL","association","66a1d989-3bd0-4a26-9ec3-7f11d3aaf427"
"Berkshire Bruins","Pittsfield","MA","US","NNYSHL","association","278e55d8-112a-4143-a5a5-b65d04e28908"
"Berkshire Rattlers","Sheffield","MA","US","NNYSHL","association","c462eba2-3b13-4531-bb26-bc157231c5b1"
"Berlin Maroons","Berlin","NH","US","NHAHA","association","58049e12-9fe6-4932-b330-d3ad5d2be98a"
"Berthier Eagles","Berthierville","QC","CA","LH3L","association","6a15f49a-ee77-4883-adbb-47dec5733892"
"Bethlehem Eagles","Delmar","NY","US","NNYSHL","association","ad7a6948-ec8e-434d-8370-0833132a130b"
"Beverly Panthers","Beverly","MA","US","VHL","association","f3b92cbb-cc77-453f-8a8c-25b371540d06"
"Biddeford Nor'easters","Biddeford","ME","US","MEAHA","association","51c64e86-7527-41f0-b047-08b049df50ca"
"Bienfait Miners","Bienfait","SK","CA","MMMHL","association","c358d13d-3982-48d6-ad7c-953cd1906589"
"Big Boy Hockey","Fraser","MI","US","Adray","association","73385a21-a0a6-4c80-a96d-4b9eb7218a4f"
"Big Rapids Ice Dogs","Big Rapids","MI","US","Adray","association","aeaba057-cf48-4721-84b9-177709080647"
"Big River Blackhawks","Big River","SK","CA","STEP","association","f6885798-5e8b-4617-9c89-19fb1517b11d"
"Biggar Nationals","Biggar","SK","CA","HW14","association","64394bac-2378-4d22-97bb-dd17e9b4a503"
"Biggby Coffee","Ann Arbor","MI","US","LCAHL","association","de727f34-f1e1-4f59-806d-e0061cef66d6"
"Billerica Indians","Billerica","MA","US","VHL","association","c15a69b9-474b-4f15-a595-71dc0eb778ab"
"Billings Jr Bulls","Billings","MT","US","TSL","association","11449768-35f8-43e9-9083-4f202c232be7"
"Binghamton Blizzard","Binghamton","NY","US","Indep-G","association","4782d881-a8c3-45b4-b22b-7e644de05bf0"
"Binghamton Freeze","Binghamton","NY","US","CNY","association","09a83031-eb5b-4c6b-bdb4-6e4da6fe19ae"
"BioSteel Sports Academy","Windsor","ON","CA","Independent","academy","3ebda346-7e53-49a7-a2be-adf342fd7146"
"BioSteel Sports Academy","Windsor","ON","CA","Indep","academy","dfc46148-5a79-4802-bfdb-16d2bf85941f"
"Birch Hills Blackhawks","Birch Hills","SK","CA","NEMHL","association","65528da9-91b6-4189-baa3-d2de26d1c458"
"Birmingham Bulls","Pelham","AL","US","SYTHL","association","4c671e01-3665-47f9-bfd0-b3f23e9aa4d0"
"Birmingham Rangers","Birmingham","MI","US","Adray","association","f04eff54-9017-4322-9530-9ed3284c8266"
"Birtle Bruins","Birtle","MB","CA","Parkissimo","association","e5d079a9-ea46-489b-95a5-f99038ac7e77"
"Bishop Kearney Selects","Rochester","NY","US","NEPack","association","20e630c5-02d0-4af6-8328-a82fb4124cd9"
"Bishop's Falls Express","Bishop's Falls","NL","CA","Independent","association","f7ea30dc-90e0-4d3f-88d6-f7e929c6fede"
"Bismarck Capitals","Bismarck","ND","US","NDAHA","association","27b0a396-dd38-446f-811a-b9cc4a37e25c"
"Black River Falls Tigers","Black River Falls","WI","US","WAHA","association","b94065e4-89c6-42bb-9f81-5348fd9b1844"
"Blackburn Stingers","Blackburn","ON","CA","GHA","association","0c790cc5-dd11-4e86-b5cf-67aba8dc71ae"
"Blackfalds Bulldogs","Blackfalds","AB","CA","CAHL","association","422020c8-b2c9-4348-8d43-2251a3a76008"
"Blaine Bengals","Blaine","MN","US","MN10","association","f952ebea-d80e-41f5-b077-cdda0b0984ac"
"Blainville Jr Armada","Blainville","QC","CA","LH3L","association","d35312f5-8dd2-4932-9106-01f5760be433"
"Blind River Thunder","Blind River","ON","CA","NDMHL","association","4393bbf6-c20c-472b-bedf-8d52f5e01584"
"Blindman Valley Broncos","Rimbey","AB","CA","CAHL","association","226272e8-0dd1-4f46-aed4-f15d1aabd5eb"
"Bloomington Blades","Bloomington","IN","US","BTHL","association","5f675b65-cc93-45e9-a99b-070dc9a22071"
"Bloomington Jefferson Jaguars","Bloomington","MN","US","MN06","association","9de2c2b3-d52b-4db4-9031-1afe04010356"
"Bloomington Thunder","Bloomington","IL","US","CSDHL","association","b5f2bac6-8d70-4bc3-a76b-d5a73d624b57"
"Bluewater Hawks","Strathroy","ON","CA","OWHA","association","95826329-19bc-4345-8ccc-dc6295e2994a"
"Blyth-Brussels Crusaders","Blyth","ON","CA","OMHA","association","17cd291d-a795-4a7e-b861-520d58fd79b3"
